Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08GA022,1,1,2002,04,220,,48.6,,32.7,,75.5,,197,,424,A,340,A,255,,289,,120,,30.2,,79.2,
08GA022,1,1,2002,05,170,,58.4,,33.8,,99.4,,163,,558,,300,,271,,222,,102,,32.1,,68.6,
08GA022,1,1,2002,06,198,,60.1,,30.4,,97.4,,146,,531,,280,,244,,174,,90.0,,101,,58.7,
08GA022,1,1,2002,07,665,,64.9,,28.0,,120,A,129,,363,,304,,205,A,139,,121,,163,,52.5,
08GA022,1,1,2002,08,776,,74.8,,28.4,,103,,124,,290,,372,,231,,122,,122,,143,,50.4,
08GA022,1,1,2002,09,367,,49.5,,28.8,,105,,120,,296,,432,,289,,208,,119,,124,,61.8,
08GA022,1,1,2002,10,245,,44.5,,29.7,,110,,117,,444,A,489,,329,,219,,106,,101,,72.8,
08GA022,1,1,2002,11,178,,45.4,,37.4,,125,,137,,528,,625,,325,,225,,110,,116,,76.7,
08GA022,1,1,2002,12,173,,43.2,,52.6,,177,,176,,579,,632,,334,,228,,84.4,,250,,219,
08GA022,1,1,2002,13,123,,65.2,,58.0,,383,,280,,655,,586,,406,,240,,64.9,,345,,309,
08GA022,1,1,2002,14,121,,50.3,,57.7,,449,,311,,746,,559,,428,,223,,57.6,,200,,270,
08GA022,1,1,2002,15,117,,52.2,,57.8,,274,,243,,758,,558,A,381,,212,,58.9,,143,,357,
08GA022,1,1,2002,16,104,,37.9,,41.3,,190,,197,,696,,513,A,365,,394,,75.8,,223,,267,
08GA022,1,1,2002,17,88.8,,34.3,,34.7,,148,,212,,618,,565,,288,,295,,83.1,,262,,182,
08GA022,1,1,2002,18,76.5,,54.8,,44.2,,139,,221,,547,,575,,273,,222,,102,,263,,134,
08GA022,1,1,2002,19,60.1,,77.9,,39.5,,145,,192,,463,,544,,284,,300,,97.5,,441,,107,
08GA022,1,1,2002,20,57.9,,97.6,,35.7,,125,,267,,428,,529,,267,,303,,84.1,,632,,84.4,
08GA022,1,1,2002,21,55.3,,107,,39.0,,152,,367,,485,,479,,260,,215,,73.3,,375,,73.6,
08GA022,1,1,2002,22,53.3,,133,,31.5,,183,,312,,535,,520,,288,,163,,70.1,,299,,71.7,
08GA022,1,1,2002,23,54.2,,85.7,,29.4,,148,,311,,552,,559,,338,,203,,64.9,,193,,70.1,
08GA022,1,1,2002,24,84.8,,60.2,,32.0,,128,,313,,480,,600,,410,,199,,57.6,,132,,65.8,
08GA022,1,1,2002,25,88.9,,48.2,,37.1,,110,,292,,497,,650,,442,,191,,54.0,,124,,86.4,
08GA022,1,1,2002,26,65.5,A,44.9,,46.9,,107,,321,,632,,662,,416,,167,,46.1,,118,,108,
08GA022,1,1,2002,27,54.2,,40.6,,75.1,,100,,368,,800,,555,,383,,158,,41.1,,109,,95.1,
08GA022,1,1,2002,28,53.3,,37.4,,64.5,,95.2,,486,,758,,519,A,397,,150,,41.6,,113,,72.4,
